what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298247656809
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298247656809
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1298247656809
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1298247656809
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1298247656809
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1298247656809
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1298247656809
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1298247656809
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1298247656809
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1298247656809
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1298247656809
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1298247656809
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1298247656809
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1298247656810
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1298247656810
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1298247656810
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1298247656810
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298247656810
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298247656810
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1298247656811
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1298247656811
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1298247656811
os,sysinfo,,,"win32",1298247656815
arch,sysinfo,,,"x86",1298247656815
ws,sysinfo,,,"win32",1298247656815
locale,sysinfo,,,"es_CO",1298247656815
processors,sysinfo,,,"2",1298247656815
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298247656815
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1298247656815
java.specification.name,sysinfo,,,"Java Platform API Specification",1298247656815
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298247656815
java.specification.version,sysinfo,,,"1.6",1298247656815
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298247656815
java.version,sysinfo,,,"1.6.0_21",1298247656815
java.vm.info,sysinfo,,,"mixed mode, sharing",1298247656815
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298247656815
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298247656815
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298247656815
java.vm.specification.version,sysinfo,,,"1.0",1298247656816
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298247656816
java.vm.version,sysinfo,,,"17.0-b17",1298247656816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247765881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247926612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247928148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247970433
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247970792
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247970894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247971456
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247973987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247974127
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247974832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298247975887
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298248219042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298248220377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298248238841
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298248240473
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298250572171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298250572843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298252220799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298252221565
